n,bst_random_insert_ms,bst_random_search_ms,bst_random_height,bst_sorted_insert_ms,bst_sorted_search_ms,bst_sorted_height,avl_random_insert_ms,avl_random_search_ms,avl_random_height,avl_sorted_insert_ms,avl_sorted_search_ms,avl_sorted_height,hash_insert_ms,hash_search_ms,heap_push_ms,heap_pop_ms
100,0.10710000060498714,0.07609999738633633,11,0.5535000236704946,0.4075000179000199,100,0.5130000063218176,0.06539997411891818,8,0.5371000152081251,0.06809999467805028,7,0.21850003395229578,0.03029999788850546,0.08450000314041972,0.20450004376471043
1000,1.1125999735668302,0.1818999880924821,18,42.500099982135,6.246300006750971,1000,5.646300036460161,0.15350000467151403,12,6.08640001155436,0.16160000814124942,10,1.6252999776042998,0.05200004670768976,0.6797999958507717,3.0154999694786966
10000,16.818700009025633,0.28680003015324473,30,5067.011100007221,71.92590000340715,10000,79.2178999981843,0.3016000264324248,16,99.42789998603985,0.4983000108040869,14,20.604199962690473,0.07080001523718238,8.357000013347715,51.880599989090115
