n,sparse_edges,dense_edges,dijkstra_sparse_ms,dijkstra_dense_ms,prim_sparse_ms,prim_dense_ms,bellman_ford_sparse_ms,bellman_ford_dense_ms
50,100,600,0.19299995619803667,0.2517999382689595,0.13990001752972603,0.43430004734545946,0.354000017978251,0.8771000429987907
200,400,10000,0.36780000664293766,3.228600020520389,0.48010004684329033,4.580299952067435,0.9371000342071056,17.046799999661744
800,1600,160000,2.126300008967519,62.26679997052997,1.7464000266045332,158.03449996747077,6.051099975593388,675.3709999611601
